City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,73.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Atuona,PF,78.85,overcast clouds,-9.8,-139.0333,Villa Enata
8,Uige,AO,75.72,broken clouds,-7.6087,15.0613,Hotel Catraio
11,Guerrero Negro,MX,70.45,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
20,Benicarlo,ES,80.91,overcast clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
24,Rikitea,PF,76.28,clear sky,-23.1203,-134.9692,People ThankYou
31,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
32,Elizabeth City,US,73.42,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
33,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
38,Kerema,PG,78.12,overcast clouds,-7.9631,145.7785,Frena Lodge
44,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
53,Puerto Penasco,MX,73.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
60,Butaritari,KI,80.47,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
67,Kovilpatti,IN,82.83,overcast clouds,9.1667,77.8667,Ananda Lodge
69,Karratha,AU,75.9,clear sky,-20.7377,116.8463,ibis Styles Karratha
70,Faanui,PF,81.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Jamestown,US,77.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Ambunti,PG,74.16,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
74,Dingle,PH,78.87,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
77,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
79,Souillac,MU,74.39,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Padang,ID,79.66,few clouds,-0.9492,100.3543,Mercure Padang
83,Quatre Cocos,MU,73.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
87,Eufaula,US,80.33,scattered clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
90,Oil City,US,78.8,clear sky,41.4339,-79.7064,Days Inn by Wyndham Oil City Conference Center
91,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
105,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,Pousada Porto Praia
106,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
107,Kavieng,PG,81.79,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
115,Sao Filipe,CV,78.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
117,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
124,Vao,NC,73.31,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
125,Samarai,PG,81.14,scattered clouds,-10.6167,150.6667,Nuli Sapi
131,Huddersfield,GB,73.62,broken clouds,53.649,-1.7842,Cambridge Hotel
139,Xuddur,SO,81.37,light rain,4.1213,43.8894,Banjanay Hotel
141,Bubaque,GW,78.62,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
142,Bani,DO,80.85,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
144,Aix-En-Provence,FR,79.36,broken clouds,43.5283,5.4497,Hôtel Le Pigonnet 5 étoiles
145,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
154,Kuching,MY,82.62,few clouds,1.55,110.3333,Hilton Kuching
156,Bandarbeyla,SO,83.21,clear sky,9.4942,50.8122,JABIR HOTEL
159,Maragogi,BR,83.64,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
162,Hambantota,LK,78.46,overcast clouds,6.1241,81.1185,Bungalow 63
164,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
169,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
173,Namatanai,PG,78.21,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
177,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
178,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
182,Pokhara,NP,75.65,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
185,Mahibadhoo,MV,83.5,light rain,3.7833,72.9667,Omadhoo Inn
190,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
197,Sabha,LY,81.95,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
200,Baculin,PH,78.24,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
203,Meulaboh,ID,80.83,overcast clouds,4.1363,96.1285,Kost Pria
205,Cochabamba,BO,73.8,few clouds,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
