City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,73.72,92,100,13.8,overcast clouds
1,Busselton,AU,-33.65,115.3333,58.84,67,83,12.08,broken clouds
2,Bahia Blanca,AR,-38.7196,-62.2724,58.37,32,0,10.33,clear sky
3,Hermanus,ZA,-34.4187,19.2345,58.8,73,8,4.09,clear sky
4,Torbay,CA,47.6666,-52.7314,39.27,94,100,10.0,overcast clouds
5,Nesna,NO,66.1967,13.0213,43.66,86,100,22.77,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,60.19,82,55,1.01,broken clouds
7,Atuona,PF,-9.8,-139.0333,78.85,71,96,20.71,overcast clouds
8,Uige,AO,-7.6087,15.0613,75.72,78,81,2.86,broken clouds
9,Kumluca,TR,36.3703,30.2869,69.87,61,27,4.47,scattered clouds
10,Bossangoa,CF,6.4926,17.4552,87.78,48,91,4.72,overcast clouds
11,Guerrero Negro,MX,27.9769,-114.0611,70.45,51,75,5.08,broken clouds
12,Fort Nelson,CA,58.8053,-122.7002,42.39,100,100,4.61,light rain
13,Sindor,RU,62.8629,51.8905,54.36,68,99,2.53,overcast clouds
14,Lander,US,42.833,-108.7307,58.1,44,0,6.91,clear sky
15,Nikolskoye,RU,59.7035,30.7861,55.78,54,33,7.02,scattered clouds
16,Robe,AU,-37.1833,139.75,60.58,84,34,17.34,scattered clouds
17,Georgetown,MY,5.4112,100.3354,85.95,74,20,4.61,few clouds
18,Rumphi,MW,-11.0186,33.8575,63.03,87,16,3.51,few clouds
19,Qaanaaq,GL,77.484,-69.3632,19.09,69,38,2.55,scattered clouds
20,Benicarlo,ES,40.4165,0.4271,80.91,59,91,7.99,overcast clouds
21,Okoneshnikovo,RU,54.8377,75.0834,62.37,51,55,5.84,broken clouds
22,Margate,GB,51.3813,1.3862,67.1,64,4,7.92,clear sky
23,Tasiilaq,GL,65.6145,-37.6368,30.36,63,82,4.76,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,76.28,68,0,22.73,clear sky
25,Champerico,GT,14.3,-91.9167,90.14,65,94,6.62,overcast clouds
26,Thompson,CA,55.7435,-97.8558,39.38,98,100,9.28,overcast clouds
27,Albany,US,42.6001,-73.9662,80.24,64,79,3.0,broken clouds
28,New Norfolk,AU,-42.7826,147.0587,57.7,71,75,8.01,broken clouds
29,Luchegorsk,RU,46.4764,134.2569,47.57,56,66,9.53,broken clouds
30,Hilo,US,19.7297,-155.09,69.24,96,20,5.75,few clouds
31,Vaini,TO,-21.2,-175.2,71.76,73,75,9.22,broken clouds
32,Elizabeth City,US,36.2946,-76.2511,73.42,94,75,8.05,broken clouds
33,Ponta Do Sol,PT,32.6667,-17.1,76.71,64,10,10.0,clear sky
34,Kodinsk,RU,58.6881,99.1844,54.52,38,7,2.98,clear sky
35,Khatanga,RU,71.9667,102.5,33.24,100,100,6.6,overcast clouds
36,Hobart,AU,-42.8794,147.3294,58.05,75,40,6.91,scattered clouds
37,Bredasdorp,ZA,-34.5322,20.0403,60.28,63,83,4.5,broken clouds
38,Kerema,PG,-7.9631,145.7785,78.12,89,99,2.57,overcast clouds
39,Walvis Bay,NA,-22.9575,14.5053,56.08,63,4,14.65,clear sky
40,Esperance,AU,-33.8667,121.9,58.23,76,20,19.75,few clouds
41,Upernavik,GL,72.7868,-56.1549,19.08,71,13,2.57,few clouds
42,Maniitsoq,GL,65.4167,-52.9,27.5,64,100,14.14,overcast clouds
43,Klaksvik,FO,62.2266,-6.589,49.12,89,100,4.14,overcast clouds
44,Puerto Ayora,EC,-0.7393,-90.3518,78.76,95,25,4.0,scattered clouds
45,Kharp,RU,66.8014,65.8081,42.76,89,90,11.86,overcast clouds
46,Palaikastron,GR,35.2,26.25,67.78,63,10,2.86,clear sky
47,Barrow,US,71.2906,-156.7887,21.22,93,100,8.05,overcast clouds
48,Manta,EC,-0.95,-80.7333,78.58,83,75,12.66,broken clouds
49,Chuy,UY,-33.6971,-53.4616,66.87,60,33,6.06,scattered clouds
50,Pinheiro Machado,BR,-31.5783,-53.3811,59.05,89,100,8.59,overcast clouds
51,Ananas,HT,19.2466,-71.9557,86.61,40,99,9.66,overcast clouds
52,Nanortalik,GL,60.1432,-45.2371,32.54,78,88,8.19,overcast clouds
53,Puerto Penasco,MX,31.3167,-113.5333,73.9,67,0,3.0,clear sky
54,Punta Arenas,CL,-53.15,-70.9167,50.02,76,40,11.5,light rain
55,Porto Novo,BJ,6.4965,2.6036,86.34,65,86,10.83,overcast clouds
56,Taft,IR,31.7471,54.2088,67.95,24,20,11.5,few clouds
57,Hoorn,NL,52.6431,5.0578,68.97,58,9,8.39,clear sky
58,Charyshskoye,RU,51.3978,83.5598,61.7,53,85,5.39,overcast clouds
59,Necochea,AR,-38.5473,-58.7368,56.98,48,0,14.14,clear sky
60,Butaritari,KI,3.0707,172.7902,80.47,76,100,8.01,overcast clouds
61,Kuusamo,FI,65.9667,29.1833,55.44,41,0,5.75,clear sky
62,Iwanai,JP,42.9744,140.5089,45.81,92,96,10.74,overcast clouds
63,Vanavara,RU,60.34,102.2797,50.09,62,9,4.16,clear sky
64,Airai,TL,-8.9266,125.4092,61.83,97,78,0.63,broken clouds
65,Kaitangata,NZ,-46.2817,169.8464,43.83,86,100,0.94,overcast clouds
66,Kazachinskoye,RU,57.6953,93.2761,59.63,41,2,2.86,clear sky
67,Kovilpatti,IN,9.1667,77.8667,82.83,61,100,15.28,overcast clouds
68,Constitucion,CL,-35.3333,-72.4167,57.78,46,100,4.83,overcast clouds
69,Karratha,AU,-20.7377,116.8463,75.9,54,3,10.25,clear sky
70,Faanui,PF,-16.4833,-151.75,81.12,67,67,13.62,light rain
71,Jamestown,US,42.097,-79.2353,77.02,61,100,8.05,overcast clouds
72,Tianjin,CN,39.1422,117.1767,64.35,36,0,6.71,clear sky
73,Ambunti,PG,-4.2365,142.8448,74.16,95,100,2.48,overcast clouds
74,Dingle,PH,10.9995,122.6711,78.87,86,81,2.06,broken clouds
75,Norman Wells,CA,65.282,-126.8329,35.64,80,75,20.71,broken clouds
76,Ushuaia,AR,-54.8,-68.3,44.22,87,20,6.91,few clouds
77,Saint-Philippe,RE,-21.3585,55.7679,74.79,80,60,12.95,light rain
78,Dikson,RU,73.5069,80.5464,32.4,95,100,11.01,overcast clouds
79,Souillac,MU,-20.5167,57.5167,74.39,71,33,10.4,scattered clouds
80,Brae,GB,60.3964,-1.353,51.04,80,99,13.38,overcast clouds
81,Padang,ID,-0.9492,100.3543,79.66,82,22,3.62,few clouds
82,Longyearbyen,SJ,78.2186,15.6401,30.04,59,40,2.3,scattered clouds
83,Quatre Cocos,MU,-20.2078,57.7625,73.09,71,66,12.64,broken clouds
84,Fairbanks,US,64.8378,-147.7164,36.3,93,75,0.0,mist
85,Katsuura,JP,35.1333,140.3,66.45,90,67,10.63,broken clouds
